"Mage_Customer::Account Dashboard", "Tableau de bord"
"Mage_Checkout::My Cart (0)", "Panier (0)"
"Mage_Catalog::Compare Products","Mon comparateur"
"Mage_Catalog::Currently Shopping by","Options sélectionnées"
"Mage_Catalog::Shopping Options","Options Disponibles"
"Prefix","Civilité"
"Mettre à jour liste de vœux", "Mettre à jour"
"Mage_Checkout::Ship to this address","Livrer à cette adresse"
"Mage_Checkout::Ship to different address","Livrer à une autre adresse"
"Mage_Checkout::Your Checkout Progress","Avancement<br/> de votre commande"
"Mage_Checkout::Forgot your password?","Mot de passe oublié ?"
"Mage_Checkout::Checkout as a Guest or Register","Créer un compte"
"Mage_Checkout::Login","Connexion"
"Grand Total Incl. Tax","Total ( TTC )"
"Proceed to Checkout","Commander"
"Shopping Options","Options disponibles"
"Mage_Catalog::Learn More","Détails"
"Mage_Catalog::Add to Wishlist","Liste d'envies"
"Mage_Catalog:Add to Compare","Comparateur"
"All products","Tous les produits"
"Search entire store here...","Recherche"
"Addonline_Catalog::Add to Compare","Comparateur"
"Your Language:","Langue :"
"Activation Information","Informations d'activation"
"Color","Couleur"
"Brand","Marque"
"Contrast Ratio","Contraste"
"Cost","Coût"
"Country of Origin","Pays d'origine"
"CPU Speed","Vitesse CPU"
"Custom Design","Design personnalisé"
"Active From","Actif à partir de"
"Active To","Actif jusqu'à"
"Custom Layout Update","Mise à jour d'agencement"
"Description","Description"
"Dimensions","Dimensions"
"Is product available for purchase with Google Checkout","Le produit est-il disponible pour Google Checkout"
"Finish","Finition"
"Image Gallery","Gallerie d'images"
"Gender","Genre"
"Allow Gift Message","Autoriser les messages cadeau"
"Disk Speed","Vitesse du disque"
"Hardrive","Disque dur"
"Base Image","Image de base"
"In Depth","En détail"
"Manufacturer","Fabriquant"
"Max Resolution","Résolution max"
"Media Gallery","Gallery média"
"Megapixels","Millions de pixels"
"Memory","Mémoire"
"Meta Description","Description méta"
"Meta Keywords","Mots-clés méta"
"Meta Title","Titre méta"
"Model","Modèle"
"Name","Nom"
"Set Product as New from Date","Produit nouveau à partir du"
"Set Product as New to Date","Produit nouveau jusqu'au"
"Display product options in","Afficher les options de produit dans"
"Price","Prix"
"Price View","Affichage du prix"
"Processor","Processeur"
"RAM SIze","Taille de RAM"
"Response Time","Temps de réponse"
"Room","Pièce"
"Screensize","Diagonale"
"shape","Forme"
"Shirt Size","Taille"
"Shoe Size","Pointure"
"Shoe Type","Type de chaussure"
"Short Description","Description courte"
"SKU","Réf."
"Small Image","Petite image"
"Special Price From Date","Date de début du prix spécial"
"Special Price","Prix spécial"
"Special Price To Date","Date de fin du prix spécial"
"Status","Statut"
"Tax Class","Classe de TVA"
"Thumbnail","Miniature"
"Tier Price","Prix par palier"
"URL key","Clé d'URL"
"Visibility","Visibilité"
"Weight","Poids"
"Furniture","Meubles"
"Electronics","Électronique"
"Living Room","Salon"
"Bedroom","Chambre"
"Cell Phone Attributes","Attributs de téléphone"
"%s was successfully added to your shopping cart.","%s a bien été ajouté à votre panier."
"Learn More","Détails"
"Add Your Review","Donner votre avis"
"loading...","Chargement..."
"Add to Cart","Acheter"
"Compare Products","Mon comparateur"
"My shopping Cart","Mon panier"
"Quantity","Quantité"
"Are you sure you want to remove this product from your wishlist?","Êtes-vous sûr(e) de vouloir enlever ce produit de votre liste d\'envies ?"
"Are you sure you would like to remove this item from the wishlist?","Êtes-vous sûr(e) de vouloir enlever cet article de votre liste d\'envies ?"
"Associated products","Produits associés"
"Advantages Codes","Code avantage"
"Shipping fees","Frais de livraison"
"Use this advantage code","Utiliser ce code"
"Choose your destination","Pays"
"Region","Région"
"Estimate shipping cost","Calculer"
"Checkout process","Commander"
"Create an Account","Créer un compte"
"Register and enjoy many benefits","Enregistrez-vous et profitez<br/>de nombreux avantages "
"Fastest order","Commandes plus rapides"
"Address management","Gestion de carnet d’adresses"
"Order tracking","Suivi de commande"
"Wishlists","Liste d'envies"
"Required Fields","Champs obligatoires"
"Price as configured","Prix de cette configuration "
"The link to a friend was sent.","Votre message a été envoyé."