"Username Webservice GLS","Login du Webservice GLS"
"Password Webservice GLS","Mot de passe du Webservice GLS"
"GLS delivery to home","Livraison GLS à domicile alternative « to home »"
"To home configuration","Configuration à domicile"
"GLS delivery to you","Livraison GLS à domicile en main propre « to you »"
"To you configuration","Configuration à domicile en main propre"
"GLS delivery relay","Livraison GLS en point relais Mondial Relay"
"Relay configuration","Configuration en point relais Mondial Relay"
"Maximum weight for articles in standard relays","Poid maximum des articles en Relay"
"Maximum weight for articles in XL relays","Poid maximum des articles en Relay XL"
"Tracking URL","URL de suivi"
"Export and import functions","fonctions d'import export"
"Export folder","Dossier d'export"
"Import folder","Dossier d'import"
"Stop to first match","Arrêt à la première correspondance trouvée"
"Search","Rechercher"
"Be notified of my delivery by SMS","Être averti de ma livraison par SMS"
"See the schedules","Voir les horaires"
"Choose this place","Choisir ce lieu"